时间戳,日志内容,错误出现轮次,写入半字数,写基地址,写数据地址,写数据,读基地址,读数据地址,读数据,测试类型
2025/12/29 16:27,测例04_no-loopback_write_test运行结果出现错误,,,,,,,,,
,,100,5,3,3,0,3,4,1,读包测试
,,100,5,3,4,0,3,5,1,读包测试
,,100,5,3,5,0,3,6,1,读包测试
,,100,5,3,6,0,3,7,1,读包测试
,,100,5,3,7,0,3,8,1,读包测试
,,500,21,F,F,3C5F,F,10,3C60,读包测试
,,500,21,F,10,F772,F,11,F773,读包测试
,,500,21,F,11,085E,F,12,085F,读包测试
,,500,21,F,12,7BF4,F,13,7BF5,读包测试
,,500,21,F,13,547E,F,14,547F,读包测试
,,500,21,F,14,353C,F,15,353D,读包测试
,,500,21,F,15,B2FF,F,16,B300,读包测试
,,500,21,F,16,4B35,F,17,4B36,读包测试
,,500,21,F,17,765F,F,18,7660,读包测试
,,500,21,F,18,6B6E,F,19,6B6F,读包测试
,,500,21,F,19,F69F,F,1A,F6A0,读包测试
,,500,21,F,1A,9369,F,1B,936A,读包测试
,,500,21,F,1B,4BA6,F,1C,4BA7,读包测试
,,500,21,F,1C,DAAC,F,1D,DAAD,读包测试
,,500,21,F,1D,4.00E+01,F,1E,4.00E+02,读包测试
,,500,180,1,0,0,0,0,3,写包测试
,,0,0,FF,0,0C0C,0,0,0,写包测试
,,0,0,0,0,0,0,0,0,写包测试
,,0,0,0,0,0,0,0,0,写包测试
,,0,0,0,0,0,0,0,0,写包测试
,,0,0,0,0,0,0,0,0,写包测试
,,0,0,0,0,0,0,0,40,
,,0,140,35,D0,CFD1,94,1,2185,
,,37309,108,8A,8D,8563,4E,45,1681,
,,42929,133,99,33,B740,F6,42,EA4D,
,,23415,142,EA,AB,8845,F,4D,E5CD,
,,34213,181,18,AE,2101,96,C3,107,
,,47389,175,7C,49,A05A,A5,0,310,
,,0,0,0,2B,4D01,B8,16,0,写包测试
,,0,0,0,0,0,0,0,0,写包测试
